Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Даньків,Василина,Тимофіївна,Жінка,1957.08.17,Астроном,селище Козятин,"проспект Проектований 4-й, буд. 2, Переяслав, 57709",+380 94 996-68-38,vreva@example.com
Чекалюк,Григорій,Несторович,Чоловік,1981.10.21,Антрополог,село Снігурівка,"провулок Пішонівська, буд. 45 кв. 3, Білицьке, 94031",+380 (58) 026-70-49,gliashko@example.com
Саєнко,Петро,Андриянівна,Чоловік,1981.08.12,Бібліограф,місто Українськ,"сквер Житкова, буд. 8 кв. 073, Лиман , 52647",058 382 27 71,suprunenkobohdanna@example.com
Цимбал,Іван,Савеліївна,Чоловік,1967.10.12,Складальник,місто Маріуполь,"провулок Михайлівська, буд. 3, Валки , 79990",+380 65 730-67-28,leopoldkozachenko@example.com
Базилевич,Богуслав,Маркелівна,Чоловік,1998.08.10,Краєзнавець,хутір Теплодар,"парк Юннатів 2-й, буд. 959 кв. 856, Мала Виска, 35353",+380 (71) 835-56-53,havryletspanas@example.com
Рябовіл,Миколай,Єфросинівна,Чоловік,1983.05.11,Каскадер,селище Буськ,"площа Цегельнозаводська, буд. 52, Дрогобич, 96238",+380 (80) 318-21-29,amvrosii97@example.com
Каденюк,Андрій,Дмитрович,Чоловік,1996.05.09,Каскадер,село Ізмаїл,"набережна Восьмого березня 4-й, буд. 7, Яворів, 67675",050 165 51 81,demianbandurka@example.com
Шутько,Юстина,Валеріївна,Жінка,1962.01.17,Драматург,місто Андрушівка,"проспект Жуковського, буд. 14 кв. 309, Горлівка, 20635",548-38-50,nadiiakharchenko@example.net
Забара,Ада,Альбертівна,Жінка,1976.02.05,Гицель,хутір Корсунь-Шевченківський,"провулок Лузанівка, буд. 786 кв. 32, Часів Яр, 59079",+380 (33) 591-22-33,mhupalo@example.net
Овчаренко,Одарка,Юхиміанівна,Жінка,1957.01.10,Геофізик,місто Скалат,"проспект Прибережний, буд. 90, Новояворівськ, 04263",+380 33 605-00-80,hermanshevchenko@example.org
Черненко,Орина,Олесьович,Жінка,2001.07.19,Стропальник,село Берислав,"набережна 4-та Лінія Марії Демченко, буд. 85, Христинівка, 89151",+380 (75) 969-23-77,onysymvasylevych@example.net
Мазепа,Пармен,Михайлович,Чоловік,1973.10.01,Будник,селище Джанкой,"площа Запорізька, буд. 7, Кам'янка-Бузька, 58796",+380 (65) 282-38-63,zakharzhaivoron@example.net
Єрмоленко,Борислав,Зеновіївна,Чоловік,1976.05.08,Географ,село Бердянськ,"узвіз Профспілкова, буд. 488, Новоукраїнка, 93213",439 55 30,ovsiienkobohdan@example.com
Корбут,Роман,Володиславівна,Чоловік,1982.03.07,Архітектор,хутір Славутич,"площа Леваневського, буд. 786, Сновськ, 69167",+380 09 147 36 68,ovasylashko@example.net
Ткаченко,Аркадій,Костянтинівна,Чоловік,1977.07.22,Піаніст,хутір Євпаторія,"узвіз Радіальний, буд. 77 кв. 069, Яремче, 82029",+380 26 071-69-64,danylenkovenedykt@example.com
Лукаш,Охрім,Антонович,Чоловік,1954.06.05,Композитор,селище Золочів,"парк Василя Симоненка, буд. 5, Хорол , 75107",+380 22 440 66 71,eduardzaporozhets@example.net
Носенко,Богдан,Герасимівна,Чоловік,1990.10.06,Ґрунтознавець,селище Тернопіль,"вулиця Мала Арнаутська, буд. 938, Вознесенівка, 08360",014 314 12 62,garsenych@example.net
Акуленко,Оксенія,Никифорівна,Жінка,1966.12.04,Драматург,хутір Богодухів,"вулиця Лінія 27-ма, буд. 293 кв. 6, Керч, 59043",831 96 53,ostapkylymnyk@example.org
Хоменко,Олена,Феофанівна,Жінка,1997.06.06,Модель,село Славутич,"проспект Лінія 42-га, буд. 3, Остер , 97237",+380 (53) 190-29-81,pvatamaniuk@example.net
Савенко,Світлана,Агапіївна,Жінка,1970.10.07,Підприємець,село Мелітополь,"парк Декабристів, буд. 3 кв. 531, Вознесенськ, 82897",+380 09 876 16 77,vvashchenko-zakharchenko@example.org
Носаченко,Марʼяна,Всеславівна,Жінка,2000.12.13,Хімік,місто Федорівка,"проспект Маршала Бабаджаняна, буд. 37 кв. 69, Устилуг, 93069",223-33-12,dankivanastasiia@example.org
Черненко,Лукʼян,Антігонівна,Чоловік,1952.08.13,Лікар,хутір Сватове,"вулиця Бригадна, буд. 342, Старобільськ, 85183",075 571 47 80,andriiteslia@example.org
Дергач,Орхип,Костянтинівна,Чоловік,2004.05.28,Футболіст,місто Южноукраїнськ,"узвіз Академіка Вільямса, буд. 869 кв. 2, Сквира, 64663",+380 29 476-76-57,azabarnyi@example.org
Бевз,Валентин,Іракліївна,Чоловік,2008.06.06,Палеонтолог,село Ладижин,"вулиця Степний 2-й, буд. 3, Обухів, 59492",757-38-25,avrelii06@example.net
Єресько,Леопольд,Лаврентіївна,Чоловік,2004.01.14,Сантехнік,хутір Баштанка,"вулиця 13-та Суворовська, буд. 03 кв. 424, Луцьк, 31516",056 694 12 68,zkhudobiak@example.net
Євтушенко,Гліб,Амвросіївна,Чоловік,1982.08.03,Письменник,село Українськ,"проспект Спиридонівська, буд. 581, Ківерці, 58784",433-15-24,stefanisaienko@example.org
Ємець,Феофан,Григоріївна,Чоловік,1975.08.31,Кушнір,хутір Миргород,"вулиця Щоглова, буд. 6, Косів, 35963",096 558-08-73,mykytiukmyron@example.net
Короленко,Сніжана,Юхиміанівна,Жінка,2002.10.27,Соціолог,хутір Лозова ,"сквер Ангарська, буд. 35 кв. 19, Болград, 92656",083 776-65-79,kviter@example.com
Лукаш,Ірина,Несторович,Жінка,1969.03.01,Інженер,хутір Малин,"парк Амурський 1-й, буд. 83 кв. 149, Валки , 66519",+380 57 863-58-86,priska96@example.net
Лесик,Камілла,Симонівна,Жінка,1992.03.01,Геолог,село Очаків,"набережна Бородінська, буд. 3, Новомиргород, 46297",+380 33 585 67 38,nazarpavlychenko@example.net
Абраменко,Софія,Давидович,Жінка,1984.02.28,Письменник,місто Харцизьк,"парк Олександра Кутузакія, буд. 622, Глиняни, 11633",614 48 34,svitlana80@example.net
Якимчук,Феофан,Семенівна,Чоловік,2003.05.14,Етнограф,хутір Кам'янка-Дніпровська,"шосе Жаботинського, буд. 829, Березань , 59412",061 372 36 88,tsymbalvadym@example.com
Конопленко,Степан,Мар’янівна,Чоловік,1967.08.02,Гірничий інженер,хутір Лубни,"парк Деревообробна, буд. 2, Куп'янськ, 94546",398 45 17,khomykpetro@example.org
Рябошапка,Хома,Вітольдівна,Чоловік,1975.04.24,Графік,селище Герца,"узвіз Мала, буд. 71 кв. 425, Вільногірськ, 61877",+380 86 173-00-16,pzabara@example.com
Сич,Арсен,Казимирівна,Чоловік,1986.04.25,Конструктор,місто Гірник ,"узвіз Кренкеля, буд. 88, Ялта, 22771",+380 12 378-07-53,varfolomiiskyrda@example.org
Базилевський,Омелян,Антінович,Чоловік,1974.04.03,Реабілітолог,хутір Брянка,"проспект Марії Демченко, буд. 0 кв. 791, Запоріжжя, 34802",764-76-12,samoilenkoillia@example.com
Редько,Олекса,Володимирівна,Чоловік,1992.03.12,Сантехнік,місто Яготин,"шосе Дубовий гай, буд. 950, Сторожинець, 88209",+380 70 090-63-66,khrystynaartiushenko@example.org
Гоголь-Яновський,Марія,Лідійовна,Жінка,1989.10.22,Музичний редактор,хутір Золочів,"шосе Восьмого Березня Лінія 3-тя, буд. 616 кв. 877, Теребовля, 13570",+380 29 332-69-37,iaroslavairvanets@example.net
Ємельяненко,Клавдія,Антігонівна,Жінка,1966.04.11,Журналіст,селище Каховка,"вулиця Академіка Богатського, буд. 7, Христинівка, 18693",820 80 37,karpenkodan@example.org
Хорішко,Єва,Юхимович,Жінка,1972.03.30,Інженер,місто Чернігів,"проспект 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 484 кв. 9, Погребище, 77528",723 70 92,ada55@example.com
Токар,Марʼяна,Валеріївна,Жінка,1955.07.31,Науковець,селище Херсон,"парк Вернидуба, буд. 50, Чорнобиль, 18520",+380 19 115-02-67,ubakumenko@example.net
Бгиденко,Павло,Єфросинівна,Чоловік,1955.12.04,Шериф,місто Павлоград,"парк Наклонна, буд. 65, Славутич, 84418",015 541-74-16,rozaliiagzhytskyi@example.com
Приймак,Олесь,Горгоніївна,Чоловік,1990.07.20,Психолог,місто Белз,"сквер Танкерна, буд. 16, Деражня, 74463",+380 41 907-05-37,pnazarenko@example.net
Ірванець,Євген,Юліанівна,Чоловік,1971.08.03,Професор,місто Надвірна,"парк Разумовська, буд. 255 кв. 4, Яворів, 29558",+380 87 489-85-56,edyta49@example.org
Карась,Болеслав,Гордіївна,Чоловік,1966.12.29,Клоун,місто Сулимівка (Слов'янськ),"сквер Некрасова, буд. 015, Черкаси, 77461",+380 12 696 06 94,panasmamchur@example.org
Авдєєнко,Амвросій,Захарович,Чоловік,2004.08.16,Громадський діяч,хутір Лебедин,"набережна Тетяни Тесс, буд. 570, Виноградів, 96540",897-11-51,adaartymyshyn@example.net
Василевич,Орест,Назаріївна,Чоловік,1970.05.01,Мірошник,селище Вільнянськ,"шосе Дальній, буд. 502 кв. 0, Дружківка, 34332",716-92-50,alinaishchak@example.com
Євтушок,Наталія,Іларіонівна,Жінка,2005.07.06,Мінералог,село Шумськ,"набережна Бучми, буд. 1, Сіверськ, 81494",+380 84 630-37-57,dmytronikoliuk@example.com
Лубенець,Ярина,Юхимович,Жінка,1991.12.07,Піаніст,селище Червоноград,"сквер Депутатський, буд. 2 кв. 24, Львів, 67588",059 706 17 61,arkadii56@example.com
Охріменко,Аліна,Єфремівна,Жінка,2000.11.09,Історик,місто Алчевськ,"набережна Прохоровський, буд. 145 кв. 55, Камінь-Каширський, 97100",227-87-48,rshakhrai@example.org
Іващенко,Соломія,Юхимівна,Жінка,1959.05.12,Візажист,село Лиман ,"шосе Амбулаторний 2-й, буд. 792, Кременчук, 63890",+380 54 926-27-17,klavdiia10@example.net
Дутка,Артем,Тимофіївна,Чоловік,1984.06.18,Редактор,місто Ізяслав,"шосе Фестивальний, буд. 4, Зборів, 31167",080 404 83 01,ctkachenko@example.com
Бабак,Едуард,Всеволодівна,Чоловік,1988.08.05,Етнограф,місто Тараща,"парк Луценка Івана, буд. 9, Сватове, 52472",+380 18 075-53-10,lukian64@example.org
Корбут,Сергій,Макарович,Чоловік,1974.11.06,Науковець,хутір Шахтарськ,"парк Чорноморський, буд. 84, Бібрка, 73847",033 740-76-87,znalyvaiko@example.org
Дрозд,Ростислав,Юстиніанівна,Чоловік,1953.06.27,Історик,хутір Токмак,"набережна Парковий, буд. 5, Переяслав, 85704",+380 85 356-31-57,iaremkivliliia@example.com
Рак,Марко,Лаврінівна,Чоловік,1968.03.02,Головний меркшейдер,хутір Южне,"вулиця Моторний 3-й, буд. 120 кв. 5, Бахчисарай, 94342",+380 96 153 90 93,mykhailo99@example.net
Гаврюшенко,Демид,Гордіївна,Чоловік,1988.11.06,Програміст,хутір Сєвєродонецьк,"узвіз Лінія 33-тя, буд. 8 кв. 14, Бровари, 77834",+380 03 234-36-21,albinaiemets@example.net
Оніщук,Марія,Юхимівна,Жінка,1980.05.31,Фармацевт,хутір Южноукраїнськ,"сквер Фестивальний, буд. 638, Тлумач, 77179",+380 78 805-29-39,andriiadamenko@example.com
Базилевський,Василина,Никифорівна,Жінка,1961.01.09,Історик,селище Жмеринка,"проспект Ковалевського, буд. 52 кв. 551, Каховка, 48953",+380 (55) 719-77-33,dzyndraodarka@example.net
Юрчишин,Надія,Казимирівна,Жінка,1981.07.11,Публіцист,хутір Бібрка,"провулок Самарська, буд. 513 кв. 697, Голубівка, 52794",456-09-97,mvasylenko@example.com
Годунок,Ганна,Климентівна,Жінка,1981.01.17,Доцент,селище Бровари,"шосе Партизанська, буд. 8, Василівка , 29721",+380 09 908-45-61,iaroslava33@example.org
Фесенко,Володимир,Євстахіївна,Чоловік,1991.09.15,Візажист,селище Підгайці,"провулок Водопровідний 1-й, буд. 115 кв. 45, Пирятин, 98724",+380 03 077 13 23,larysapylypenko@example.org
Ільченко,Гаврило,Іларіонівна,Чоловік,1989.07.21,Агроном,місто Шостка,"узвіз Леваневського тупик, буд. 4, Почаїв, 51580",+380 70 722-46-55,klymentkozachenko@example.net
Рудько,Ростислав,Кирилівна,Чоловік,2001.07.07,Піаніст,селище Долинська,"площа Алмазна, буд. 57, Ровеньки, 74692",010 674-85-05,ieva41@example.net
Ващенко,Павло,Мстиславович,Чоловік,1998.07.16,Модельєр,селище Червоноград,"проспект Залізничний 3-й, буд. 396, Донецьк, 53263",+380 66 679-21-29,mazurtaras@example.com
Вітрук,Пармен,Михайлович,Чоловік,1994.10.04,Фольклорист,село Покровськ,"узвіз Пересипський 2-й, буд. 97 кв. 93, Перещепине, 70658",081 789-51-66,emiliia42@example.com
Власенко,Геннадій,Назаріївна,Чоловік,1953.05.26,Електротехнік,селище Лиман ,"вулиця Локомотивна, буд. 995, Покров, 74943",093 35 97,iokhrimenko@example.org
Цимбалюк,Ірена,Гордіївна,Жінка,1998.08.27,Електрик,село Кам'янка (Черкаська область),"провулок Травневий 5-й, буд. 00 кв. 676, Старий Самбір, 96482",+380 18 354-40-36,kyrylo16@example.net
Рева,Софія,Вітольдівна,Жінка,2008.04.20,Бухгалтер,село Щастя ,"набережна Ланжерон, буд. 6 кв. 73, Антрацит , 88893",+380 (38) 559-82-25,edyta51@example.org
Власюк,Варвара,Артемівна,Жінка,1952.03.18,Мистецтвознавець,селище Павлоград,"шосе Проїзний 1-й, буд. 05, Апостолове, 37011",047 20 02,xbabiuk@example.net
Базилевич,Ярослава,Тимофіївна,Жінка,1963.12.05,Астроном,місто Красногорівка,"узвіз Чапаєва, буд. 33, Радомишль, 04523",976 51 69,iakiv58@example.org
Ємець,Артем,Анікітівна,Чоловік,1967.04.06,Журналіст,селище Моспине,"провулок Перший Кришталевий, буд. 59, Любомль, 08741",+380 79 407-95-27,iakiv01@example.com
Жаліло,Веніямин,Даніїлівна,Чоловік,1971.11.01,Локсмайстер,селище Пирятин,"узвіз Хвойний, буд. 1 кв. 203, Запоріжжя, 79817",+380 (49) 159-93-26,lukian22@example.net
Гайденко,Дан,Никифорівна,Чоловік,2000.12.07,Електромонтажник,селище Вуглегірськ,"сквер Шампанський, буд. 0 кв. 03, Батурин, 07157",398-46-37,irena97@example.net
Семенченко,Адам,Маркелівна,Чоловік,1992.04.01,Клоун,хутір Буча,"узвіз Достоєвського, буд. 74 кв. 934, Львів, 59485",004 014 18 71,uadamenko@example.net
Гриценко,Тимофій,Мелентіївна,Чоловік,1992.09.04,Архітектор,місто Борзна,"парк Лінія 29-та, буд. 52, Дергачі, 01241",764 98 66,nadiiakhomenko@example.net
Терещук,Лесь,Дорофіївна,Чоловік,1952.10.23,Агроном,селище Дружківка,"набережна Шоста, буд. 48 кв. 571, Часів Яр, 02780",+380 (42) 497-03-60,lukianbarannyk@example.com
Чередник,Маруся,Гордіївна,Жінка,1985.04.09,Акушер,місто Хорол ,"площа Восьмого Березня Лінія 3-тя, буд. 55, Перемишляни, 63420",137-40-58,volodymyrkhudobiak@example.net
Шеремет,Єлисавета,Герасимівна,Жінка,1996.01.09,Правник,селище Новоград-Волинський,"площа Північний, буд. 4, Пирятин, 25910",184 23 81,ndanko@example.net
Сіробаба,Соломія,Іларіонівна,Жінка,1989.06.18,Клоун,селище Севастополь,"парк Посмітного, буд. 1 кв. 585, Винники, 82804",+380 91 623-12-48,kzasiadko@example.org
Бакуменко,Валентина,Іларіонівна,Жінка,1970.06.30,Юрист,селище Надвірна,"провулок Новоберегова, буд. 812, Кролевець, 13480",019 367 95 13,wmoskal@example.org
Дейнека,Єлисей,Володиславівна,Чоловік,2006.11.02,Психолог,хутір Львів,"площа Таїрова, буд. 33, Зміїв, 86840",790 89 53,vsirobaba@example.com
Терещук,Зорян,Михайлович,Чоловік,1970.12.20,Журналіст,місто Балаклія,"шосе Хімічний 1-й, буд. 0, Стрий, 79310",000 776-03-34,valentynashynkarenko@example.com
Ґалаґан,Хома,Філімонівна,Чоловік,1986.01.03,Дизайнер,місто Путивль,"провулок Святослава Ріхтера, буд. 1 кв. 5, Вижниця, 02951",022 270 51 97,msimashkevych@example.com
Затовканюк,Мирон,Семенівна,Чоловік,1971.10.25,Фізик,селище Горлівка,"провулок Академіка Заболотного, буд. 1 кв. 14, Білогірськ, 96588",067 187-84-60,iaroslavdrozdenko@example.net
Худяк,Давид,Лідійовна,Чоловік,1956.04.15,Ріелтор,хутір Чуднів,"вулиця Фруктовий, буд. 405 кв. 51, Кам'янка (Черкаська область), 69543",215-49-86,hennadii69@example.org
Височан,Григорій,Філімонівна,Чоловік,1971.07.31,Кур'єр,селище Олевськ,"вулиця 6-та Суворовська, буд. 7 кв. 428, Новий Розділ, 70016",866-83-71,zakharsalii@example.org
Лесик,Златослава,Григоріївич,Жінка,2002.08.18,Пілот,місто Устилуг,"узвіз Товарний, буд. 01 кв. 123, Первомайський , 35035",501 56 33,pushkaronysym@example.com
Мамчур,Ганна,Артемівна,Жінка,2008.05.19,Електромонтер,село Вільнянськ,"парк Вапняне селище, буд. 1, Ясинувата, 77029",051 429 50 55,davyd63@example.org
Павличенко,Ліза,Варфоломійович,Жінка,1959.12.27,Журналіст,селище Бердянськ,"парк Сергія Уточкіна, буд. 84 кв. 075, Нетішин, 83834",031 103 69 99,snizhana25@example.net
Романенко,Марʼяна,Альбертівна,Жінка,1962.05.16,Фармацевт,місто Бунге ,"площа 19-та Лінія, буд. 272 кв. 51, Нове Давидково, 04416",075 543-36-08,revazlatoslava@example.com
Юрченко,Панас,Амвросіївна,Чоловік,1994.10.30,Доцент,село Самбір,"вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 5, Вишневе , 99632",+380 72 404 04 15,kalchenkoherman@example.net
Дейсун,Данило,Гаврилівна,Чоловік,1954.05.01,Фотограф,селище Ворожба,"парк Волниста, буд. 9 кв. 46, Харцизьк, 29758",037 813-01-09,adapiddubnyi@example.org
Запорожець,Мартин,Юхимович,Чоловік,1974.11.18,Модельєр,хутір Чистякове,"площа Закарпатська, буд. 022 кв. 32, Вишневе , 78985",266-48-96,arak@example.net
Тягнибок,Орхип,Ізмаїлівна,Чоловік,1961.02.18,Диригент,хутір Перемишляни,"вулиця Люстдорфський, буд. 29, Петрово-Красносілля, 06270",287 71 78,sviatoslava72@example.com
Забіла,Ростислав,Всеславівна,Чоловік,1969.11.22,Намотувальник,селище Винники,"вулиця Івана Вазова, буд. 257 кв. 7, Приморськ (Україна), 11322",+380 17 099 38 31,larysa21@example.org
Усик,Віталій,Валеріївна,Чоловік,1998.03.17,Музикознавець,хутір Острог,"набережна Пироговська, буд. 4 кв. 231, Могилів-Подільський, 99444",847 89 82,aradchenko@example.com
Шутько,Лариса,Казимирівна,Жінка,1982.04.16,Мистецтвознавець,село Синельникове,"площа Восьмого Березня Лінія 2-га, буд. 58, Кропивницький, 32960",+380 55 486 23 56,heorhii99@example.org
Іваничук,Соломія,Корнеліївна,Жінка,2004.06.25,Локсмайстер,село Гребінка,"шосе Картамишевська, буд. 97 кв. 64, Буринь, 66930",+380 82 560-62-37,mariiamykytiuk@example.org
Теличенко,Розалія,Григоріївна,Жінка,1957.07.11,Драматург,село Тиврів,"провулок Вузький, буд. 37 кв. 166, Канів, 26470",055 589-67-86,anitadeineka@example.net
Смик,Еріка,Юріївна,Жінка,1961.02.02,Швачка,село Свалява,"парк Юннатів 3-й, буд. 481 кв. 6, Сміла, 01713",+380 77 700 69 46,lesieromenko@example.org
Рубан,Остап,Юхимович,Чоловік,1987.08.09,Круп'є,місто Алмазна,"сквер Зелена, буд. 6 кв. 329, Макіївка, 08919",015-85-66,anzhelaivanenko@example.net
Супруненко,Мирон,Семенівна,Чоловік,1992.11.16,Флорист,селище Білогірськ,"парк Жолкова Бориса, буд. 4 кв. 747, Українськ, 69336",+380 10 357-22-01,sviatoslav98@example.com
Барабаш,Климент,Никифорівна,Чоловік,1987.12.29,Конструктор,місто Почаїв,"площа Пантелеймонівська, буд. 6, Болехів, 08113",942-93-03,alekseienkoonysym@example.org
Скиба,Пантелеймон,Марківна,Чоловік,1968.04.10,Державний службовець,селище Гадяч,"сквер Кришталева, буд. 95, Лисичанськ, 62587",+380 27 883-87-23,panteleimon40@example.net
Ґжицький,Віктор,Валеріївна,Чоловік,1981.07.08,Геолог,село Тульчин,"площа Софії Перовської, буд. 3 кв. 679, Новомосковськ, 05663",050 497-77-84,vyshniakparmen@example.org
Червоненко,Теодор,Григоріївна,Чоловік,1951.12.29,Етнограф,селище Лубни,"провулок Лузанівка, буд. 444 кв. 075, Красноград, 59204",+380 08 349 19 17,sviatoslav20@example.net
Дзюба,Лілія,Юхиміанівна,Жінка,1987.02.01,Слідчий,селище Сміла,"площа Рекордний, буд. 464, Перечин, 48841",+380 29 218-75-95,stefanshchyrytsia@example.org
Гайдамака,Христина,Євгенович,Жінка,1973.10.29,Флорист,хутір Сторожинець,"шосе 4-та Лінія Марії Демченко, буд. 722, Перевальськ, 21671",+380 90 453-12-78,havryliuklarysa@example.org
Ващук,Пріска,Ізмаїлівна,Жінка,1959.06.06,Фармацевт,хутір Баштанка,"парк Офіцерський 2-й, буд. 90 кв. 983, Рогатин, 39380",+380 (63) 995-58-16,stepan01@example.net
Устенко,Оксана,Ізмаїлівна,Жінка,1977.01.20,Інженер,селище Шостка,"провулок Штурманська, буд. 70, Іловайськ, 56150",+380 09 992-95-76,zvoblyi@example.net
